"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";4647;"14532";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"22/11/2016";;"30";"90"
"SP";4648;"14533";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"22/11/2016";;"30";"90"
"SP";4649;"14538";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"28/11/2016";;"30";"90"
"SP";4650;"14539";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"28/11/2016";;"66";"180"
"SP";4651;"14540";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"02/12/2016";;"30";"90"
"SP";4652;"14541";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"02/12/2016";;"30";"90"
"SP";4653;"14542";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"28/11/2016";;"30";"90"
"SP";4654;"14543";"LOJA";;;"ARO-25T";"09:00";"21:00";248;"114 - HAVAIANAS";"02/12/2016";;"30";"90"
"SP";4659;"14511";"LOJA";;;"ARO-25T";"10:00";"20:00";248;"114 - HAVAIANAS";"01/12/2016";;"30";"60"
"SP";4663;"14521";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4664;"14523";"LOJAS HAVAIANAS";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4665;"14522";"LOJAS HAVAIANAS";;;"ARO-25T";"09:00";"19:00";248;"114 - HAVAIANAS";;;"30";"60"
"SP";4666;"14524";"LOJAS HAVAIANAS";;;"ARO-25T";"10:00";"19:00";248;"114 - HAVAIANAS";;;"30";"51"
"SP";4667;"14525";"LOJAS HAVAIANAS";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4668;"14554";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4669;"14555";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4670;"14556";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4671;"14557";"LOJA";;;"ARO-25T";"08:30";"18:30";248;"114 - HAVAIANAS";;;"30";"75"
"SP";4672;"14558";"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4674;"14559";"LOJAS HAVAIANAS";;;"ARO-25T";"09:00";"22:00";248;"114 - HAVAIANAS";;;"30";"96"
"SP";4675;"14560";"LOJAS HAVAIANAS";;;"ARO-25T";"08:00";"19:00";248;"114 - HAVAIANAS";;;"30";"78"
"SP";4676;"14561";"LOJAS HAVAIANAS";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"30";"90"
"SP";4677;"14566";"LOJA";;;"ARO-25T";"08:00";"18:00";248;"114 - HAVAIANAS";;;"30";"66"
"SP";4678;"14562";"LOJA";;;"ARO-25T";"09:00";"23:00";248;"114 - HAVAIANAS";;;"30";"96"
