"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";418;;"LOJA";;;"ARO-25T";"09:30";"18:30";248;"114 - HAVAIANAS";"14/11/2016";;"96";"180"
"SP";969;;"RECEPÇÃO";;;"ARO-25T";;;117;"96 - LIME BASIL";"07/11/2016";;"60";"180"
"SP";1164;;"RECEPÇÃO- LOBBY";;;"ARO-25T";"07:00";"22:00";117;"96 - LIME BASIL";"22/02/2222";;"90";"180"
"SP";1732;;"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";"17/11/2016";;"66";"180"
"SP";1846;;"CORREDOR DE INTERLIGAÇÃO ENTRE BLOCO A E B";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"51";"180"
"SP";1846;;"CORREDOR SETOR DE HEMODINAMICA";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"51";"180"
"SP";3217;;"EM FRENTE AO EXTRA";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DA PREGO";"MASC";;"ARO-25T";"10:00";"22:20";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;;"PRAÇA DE ALIMENTAÇÃO";"FEM";;"ARO-25T";"10:00";"22:00";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;;"AO LADO DA TIM";"MASC";;"ARO-25T";"10:00";"22:00";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;;"PRÓXIMO A C&A";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"PRÓXIMO A C&A";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DA PERNAMBUCANAS";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"EM FRENTE AO EXTRA";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"PRAÇA DE ALIMENTAÇÃO";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"FRALDARIO BEBE";"FRAUDÁRIO";;"ARO-25T";"09:30";"22:30";51;"30 - geovanna baby";"22/02/2222";;"60";"120"
"SP";3217;;"AO LADO DAS CASAS BAHIA";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DAS CASAS BAHIA";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"EM FRENTE AO FRALDARIO";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"EM FRENTE AO FRALDARIO";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DA PERNAMBUCANAS";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3267;;"WC MARISA";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC SAPATARIA";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"FRENTE ELEVADOR SOCIAL ADM";;;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC C&A";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC C&A";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC SAPATARIA DO FUTURO";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC MARISA";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC MC DONALDS";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC KFC";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC RENNER";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC RENNER";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC RIACHUELO";"MASC";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC RIACHUELO";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3267;;"WC SAPATARIA DO FUTURO";"FEM";;"ARO-25T";"10:00";"22:00";122;"101 - EUCALYPTUS";"22/02/2222";;"150";"180"
"SP";3350;;"recepção";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;;"entrada";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;;"hall da 7ª maternidade";;;"ARO-25T";"07:00";"22:00";51;"30 - geovanna baby";"22/02/2222";;"60";"180"
"SP";3350;;"recepção";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;;"cardiologia";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;;"entrada";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3350;;"centro de diagnóstico porx aos elevadores";;;"ARO-25T";"07:00";"22:00";250;"115 - VERBENA";"22/02/2222";;"60";"180"
"SP";3352;;"CENTRO DE ESTUDOS";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;;"RECEPÇÃO DO CD";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;;"RECEPÇÃO ENTRADA HOSPITAL";;;"ARO-25T";"06:00";"22:00";250;"115 - VERBENA";"23/11/2016";;"60";"180"
"SP";3352;;"ENTREDA DA MATERNIDADE";;;"ARO-25T";"06:00";"22:00";51;"30 - geovanna baby";"23/11/2016";;"60";"180"
