"UF";"CódigoDoCliente";"CodigoBanheiro";"LocalBanheiro SetorPredio";"TipoBanheiro";"CodigoEquipamento";"CódigoDoProduto";"HoraLiga";"HoraDesliga";"CodigoAroma";"DescriçaoAroma";"UltimaTroca";"Peso Refil";"SoltarNevoa";"PararNevoa"
"SP";969;;"RECEPÇÃO";;;"ARO-25T";;;117;"96 - LIME BASIL";"31/08/2016";;"60";"180"
"SP";1164;;"RECEPÇÃO- LOBBY";;;"ARO-25T";"07:00";"22:00";117;"96 - LIME BASIL";"22/02/2222";;"90";"180"
"SP";1732;;"LOJA";;;"ARO-25T";"10:00";"22:00";248;"114 - HAVAIANAS";;;"90";"180"
"SP";3217;;"PRAÇA DE ALIMENTAÇÃO";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DA PREGO";"MASC";;"ARO-25T";"10:00";"22:20";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;;"AO LADO DA TIM";"MASC";;"ARO-25T";"10:00";"22:00";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"60";"120"
"SP";3217;;"PRÓXIMO A C&A";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"PRÓXIMO A C&A";"FEM";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"AO LADO DA PERNAMBUCANAS";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
"SP";3217;;"EM FRENTE AO EXTRA";"MASC";;"ARO-25T";"09:30";"22:30";108;"87 - CAPIM LIMÃO                             ";"22/02/2222";;"90";"120"
